artist,genre,averagePopularity,popularityTier
24kGoldn,edm,73.0,7
24kGoldn,electronic,60.0,6
24kGoldn,emo,55.0,5
24kGoldn,funk,73.0,7
24kGoldn,house,73.0,7
24kGoldn,pop,83.0,8
24kGoldn,progressive-house,60.0,6
24kGoldn,soul,63.0,6
250 kg kärlek,swedish,43.5,4
257ers,punk-rock,37.0,3
257ers,ska,37.0,3
25th Annual Putnam County Spelling Bee Original Cast,show-tunes,29.357142857142858,2
2Baba,dancehall,44.0,4
2CELLOS,club,52.0,5
2Infinity,study,13.0,1
2Pac,funk,72.42857142857143,7
2Pac,hardcore,48.666666666666664,4
2R,cantopop,23.0,2
2T,funk,49.0,4
2ara,german,41.0,4
2gaudy,sad,49.0,4
2jaym,edm,48.0,4
2jaym,indian,48.0,4
2jaym,indie,48.0,4
2jaym,indie-pop,48.0,4
2nd Grade,power-pop,21.0,2
2square,trip-hop,35.0,3
3 Doors Down,alt-rock,31.571428571428573,3
3 Doors Down,alternative,26.166666666666668,2
3 Doors Down,grunge,46.75,4
3 Doors Down,metal,36.375,3
3 Doors Down,rock,0.25,0
3 Hürel,psych-rock,27.5,2
3 Pill Morning,metalcore,28.0,2
3 Steps Ahead,happy,17.818181818181817,1
3 Steps Ahead,hardstyle,7.5,0
3030,brazil,46.22222222222222,4
31 Minutos,latino,40.5,4
31 Minutos,ska,38.31818181818182,3
311,metal,38.0,3
32 Leaves,grunge,53.0,5
347aidan,r-n-b,81.0,8
347aidan,sad,61.2,6
36 Crazyfists,groove,12.0,1
36 Crazyfists,industrial,24.666666666666668,2
36 Crazyfists,metalcore,12.0,1
38 Special,country,1.5,0
38 Special,hard-rock,1.5,0
38 Special,metal,1.5,0
3FORCE,club,25.428571428571427,2
3LAU,electronic,39.75,3
3LAU,progressive-house,39.75,3
3OH!3,punk,64.0,6
3OH!3,punk-rock,64.0,6
3RACHA of Stray Kids,chill,60.0,6
3TEETH,industrial,45.0,4
3x7 Veintiuna,folk,42.0,4
4 Strings,progressive-house,62.0,6
4 Tune Fairytales,happy,21.333333333333332,2
4*TOWN (From Disney and Pixar’s Turning Red),disney,60.0,6
40 Below Summer,industrial,25.0,2
404vincent,sad,34.0,3
42nd Street Ensemble,show-tunes,25.0,2
44phantom,emo,52.888888888888886,5
44phantom,sad,52.875,5
450,dancehall,30.0,3
48th St. Collective,jazz,0.0,0
4D Nature Recordings,sleep,32.5,3
4Keus Gang,french,32.0,3
4Korners,sad,62.0,6
4TH Chapter,minimal-techno,21.0,2
4ever Falling,emo,47.0,4
4hero,drum-and-bass,24.142857142857142,2
4hero,trip-hop,30.0,3
4i20,trance,37.2,3
4to28,study,47.5,4
4yye,swedish,35.0,3
5 Adım,turkish,37.0,3
5 Seconds of Summer,dance,77.33333333333333,7
5 Seconds of Summer,edm,72.0,7
5 Seconds of Summer,electro,72.0,7
5 Seconds of Summer,emo,55.0,5
5 Seconds of Summer,house,72.0,7
5 Seconds of Summer,j-rock,55.0,5
5 a Seco,mpb,47.0,4
50 Cent,hardcore,49.0,4
50 Cent,hip-hop,83.0,8
50 Cent,spanish,50.5,5
509-E,brazil,48.0,4
509-E,funk,48.0,4
509-E,r-n-b,44.5,4
50landing,emo,46.0,4
50landing,sad,46.0,4
53 Thieves,chill,54.0,5
5oh8,electronic,46.0,4
6 Dogs,electro,0.0,0
6 Dogs,emo,56.0,5
6091,electro,43.0,4
6091,electronic,32.63636363636363,3
6091,indian,45.0,4
666,hardstyle,58.0,5
678NATH,afrobeat,20.0,2
69 Boyz,kids,21.0,2
6EJOU,techno,25.0,2
6LACK,chill,19.0,1
6LACK,dance,1.0,0
6LACK,dancehall,60.0,6
6LACK,german,0.0,0
6LACK,hip-hop,1.0,0
6LACK,indie,56.0,5
6LACK,progressive-house,59.0,5
6LACK,r-n-b,81.0,8
6LACK,soul,16.428571428571427,1
6ix9ine,emo,61.52173913043478,6
6n,folk,51.0,5
6n,indian,51.0,5
6o,emo,46.0,4
6o,sad,46.0,4
6t6,dancehall,33.0,3
6t6,j-dance,33.0,3
7 MinutoZ,r-n-b,44.0,4
7 Minutoz,r-n-b,43.4,4
7 Skies,progressive-house,52.0,5
7!!,anime,59.0,5
7!!,j-pop,59.0,5
7!!,j-rock,59.0,5
7Horse,blues,51.0,5
7evin7ins,sad,56.0,5
7kingZ,blues,30.0,3
7ru7h,emo,48.333333333333336,4
7ru7h,sad,51.0,5
8 Crazy Nights Cast,comedy,22.0,2
8 Graves,blues,54.0,5
8 Kalacas,ska,31.5,3
808 Ander,r-n-b,42.0,4
80purppp,chill,72.0,7
80purppp,sad,67.33333333333333,6
80xx,detroit-techno,10.0,1
831,mandopop,63.0,6
8485,happy,16.0,1
88GLAM,soul,63.0,6
8901,club,21.0,2
89ine,chill,45.0,4
89ine,sad,45.0,4
8Kays,electronic,50.0,5
8Kays,minimal-techno,30.0,3
8lak,mandopop,44.0,4
8percent,chill,66.0,6
8percent,sad,66.0,6
8th Sin,trance,42.0,4
9 Lazy 9,trip-hop,50.0,5
9 Theory,trip-hop,52.0,5
90´s Pop Tour,spanish,30.0,3
91 All Stars,french,34.0,3
916frosty,emo,51.5,5
916frosty,sad,55.5,5
92 Sounds,techno,24.0,2
92914,chill,61.0,6
92914,folk,61.0,6
93FEETOFSMOKE,emo,48.0,4
954mari,anime,45.0,4
9Mill,dancehall,27.0,2
9Mill,j-dance,27.0,2
9m88,mandopop,52.0,5
9mm Parabellum Bullet,hard-rock,0.75,0
9mm Parabellum Bullet,hardcore,12.0,1
9mm Parabellum Bullet,j-pop,0.75,0
9mm Parabellum Bullet,j-rock,12.0,1
9smkr,sad,47.0,4
9tails,emo,56.0,5
9tails,sad,56.0,5
:Wumpscut:,industrial,20.0,2
=LOVE,j-idol,29.818181818181817,2
=LOVE,j-pop,37.0,3
=LOVE,j-rock,34.333333333333336,3
? & The Mysterians,garage,40.0,4
? & The Mysterians,psych-rock,40.0,4
? & The Mysterians,punk,40.0,4
? & The Mysterians,punk-rock,40.0,4
@1Tmt__,club,14.0,1
A Banda Mais Bonita da Cidade,mpb,41.0,4
A Banda Mais Bonita da Cidade,r-n-b,40.0,4
A Boogie Wit da Hoodie,chill,66.0,6
A Boogie Wit da Hoodie,dance,1.5,0
A Boogie Wit da Hoodie,edm,23.333333333333332,2
A Boogie Wit da Hoodie,emo,61.0,6
A Boogie Wit da Hoodie,pop,1.5,0
A Boogie Wit da Hoodie,soul,67.0,6
A Boogie Wit da Hoodie,swedish,15.25,1
A Dama,pagode,54.0,5
A Day To Remember,metalcore,43.31818181818182,4
A Day To Remember,progressive-house,61.0,6
A Day To Remember,punk,69.0,6
A Família,brazil,48.0,4
A Família,r-n-b,45.5,4
A Feast for Kings,metalcore,23.0,2
A Fine Frenzy,acoustic,57.0,5
A Flock Of Seagulls,synth-pop,44.285714285714285,4
A Forest Mighty Black,trip-hop,32.5,3
A Great Big World,acoustic,54.15384615384615,5
A Great Big World,piano,55.72727272727273,5
A Life Once Lost,death-metal,23.0,2
A Little Night Music Original Broadway Cast Ensemble,show-tunes,22.0,2
A Little Sound,drum-and-bass,42.2,4
A Mose,afrobeat,17.75,1
A Niu,mandopop,26.0,2
A Number Of Names,detroit-techno,12.25,1
A R I Z O N A,indie-pop,0.0,0
A Rocket To The Moon,alt-rock,56.0,5
A Rocket To The Moon,emo,51.666666666666664,5
A Rocket To The Moon,punk,54.8,5
A Rocket To The Moon,punk-rock,51.666666666666664,5
A Si,mandopop,52.0,5
A Skylit Drive,metalcore,26.0,2
A Touch Of Class,edm,50.0,5
A Touch Of Class,electro,50.0,5
A Touch Of Class,house,50.0,5
A Touch Of Class,progressive-house,39.0,3
A Tribe Called Quest,hardcore,67.66666666666667,6
A Vida Music,gospel,38.5,3
A Wilhelm Scream,hardcore,30.333333333333332,3
A Winged Victory for the Sullen,ambient,59.0,5
A$AP Ferg,electronic,47.0,4
A$AP Ferg,hardcore,56.0,5
A$AP Ferg,hip-hop,1.0,0
A$AP Rocky,dance,69.0,6
A$AP Rocky,electro,51.0,5
A$AP Rocky,hardcore,61.0,6
A$AP Rocky,hip-hop,82.0,8
A$AP Rocky,house,51.0,5
A$AP Rocky,indie,71.0,7
A$AP Rocky,indie-pop,71.0,7
A$AP Rocky,progressive-house,63.0,6
A$AP Rocky,soul,74.0,7
A$AP TyY,electronic,49.0,4
A*M*E,techno,60.0,6
A*S*Y*S,techno,47.333333333333336,4
A-F-R-O,indie-pop,45.0,4
A-Lin,mandopop,46.0,4
A-Lusion,hardstyle,20.0,2
A-Mei Chang,mandopop,54.44444444444444,5
A-Star,club,43.0,4
A-Star,deep-house,25.0,2
A-Star,groove,25.0,2
A-Tech,trance,35.0,3
A-Trak,alt-rock,0.0,0
A-Trak,alternative,0.0,0
A-Trak,indie,0.0,0
A-Trak,punk,10.4,1
A-Trak,punk-rock,21.8,2
A-WA,groove,41.0,4
A-Zone,breakbeat,19.0,1
A-Zone,drum-and-bass,19.0,1
A-do,mandopop,39.5,3
A. G. Cook,club,40.25,4
A. Kanyakumari,classical,43.0,4
A. Kanyakumari,indian,43.0,4
A. Manetta,disco,31.0,3
A. R. Reihana,pop,72.5,7
A. R. Reihana,pop-film,72.5,7
A.B.I,malay,25.0,2
A.CHAL,drum-and-bass,18.0,1
A.CHAL,soul,61.0,6
A.M.C.,drum-and-bass,15.0,1
A.M.C,drum-and-bass,22.363636363636363,2
A.M.C,j-dance,23.0,2
A.M.R,electronic,51.5,5
A.M.R,trance,24.0,2
A.N.I.M.A.L.,heavy-metal,22.53846153846154,2
A.R. Rahman,dancehall,19.0,1
A.R. Rahman,indian,58.0,5
A.R. Rahman,malay,47.0,4
A.R. Rahman,pop,67.6923076923077,6
A.R. Rahman,pop-film,62.478873239436616,6
A.R. Rahman,show-tunes,14.0,1
A.Skillz,breakbeat,12.916666666666666,1
A1 x J1,chill,62.57142857142857,6
A1Melodymaster,folk,44.1,4
A1Melodymaster,indian,48.4,4
A7S,edm,7.619047619047619,0
A7S,electro,7.9,0
A7S,funk,6.454545454545454,0
A7S,german,27.846153846153847,2
A7S,house,4.0,0
A7S,r-n-b,0.0,0
A7S,techno,67.5,6
A7S,trance,67.5,6
AA Apres-Ski!,disco,29.0,2
AA Apres-Ski!,party,29.0,2
AAKASH,edm,46.0,4
AAKASH,indian,46.0,4
AAKASH,indie,46.0,4
AAKASH,indie-pop,46.0,4
ABBA,swedish,37.140845070422536,3
ABC Kids,children,29.0,2
ABC,synth-pop,22.6,2
ABK,breakbeat,21.0,2
AC Music,brazil,44.0,4
AC Music,gospel,44.0,4
AC Slater,deep-house,52.0,5
AC Slater,groove,52.0,5
AC/DC,hard-rock,68.06896551724138,6
AC/DC,rock,84.33333333333333,8
AC15,deep-house,30.5,3
ACE COLLECTION,anime,44.0,4
ACE COLLECTION,j-pop,38.0,3
ACN Music.,anime,50.0,5
ACxDC,grindcore,11.25,1
ADK Srirascol,malay,37.5,3
ADL,brazil,45.25,4
ADL,funk,45.25,4
ADM,minimal-techno,18.0,1
ADSO,salsa,28.0,2
AERYN,dub,42.0,4
AERYN,dubstep,42.0,4
AFC,swedish,39.0,3
AFI,alternative,0.5,0
AFI,emo,13.5,1
AFI,metal,0.5,0
AFI,punk,0.5,0
AFI,ska,13.75,1
AFKAP,hip-hop,60.0,6
AFK,dubstep,36.0,3
AFTERMYFALL,club,37.0,3
AFTERMYFALL,dubstep,40.0,4
AG Beatz,funk,46.0,4
AGA,cantopop,45.2,4
AGLORY,club,37.0,3
AHOSHI,study,45.0,4
AHYRE,folk,47.0,4
AIDYL,trance,48.0,4
AILEE,k-pop,62.0,6
AIRMANN,club,41.0,4
AIROD,techno,47.0,4
AI,j-pop,38.0,3
AJ Ghent [ j-ent ],guitar,23.0,2
AJ Meijer,show-tunes,52.0,5
AJ Mitchell,edm,64.0,6
AJ Mitchell,electro,64.25,6
AJ Mitchell,house,64.0,6
AJ Salvatore,deep-house,46.0,4
AJ Tracey,dancehall,50.0,5
AJ Wav,funk,42.0,4
AJJ,acoustic,31.75,3
AJR,acoustic,59.0,5
AJR,alt-rock,0.0,0
AJR,alternative,0.0,0
AJR,indie,70.0,7
AJR,indie-pop,70.0,7
AJR,power-pop,21.0,2
AJR,rock,35.166666666666664,3
AJX,malay,26.0,2
AK Bhuker,pop-film,56.0,5
AK-69,j-pop,37.0,3
AKA AFK,brazil,44.0,4
AKA AKA,minimal-techno,22.142857142857142,2
AKA AKA,techno,52.0,5
AKASA,edm,40.0,4
AKASA,folk,44.0,4
AKASA,indian,44.0,4
AKASA,indie-pop,40.0,4
AKASA,pop,65.0,6
AKB48,j-idol,22.26086956521739,2
AKI,dancehall,32.666666666666664,3
AKI,swedish,37.5,3
AKKI (DE),techno,42.0,4
AKLO,soul,63.5,6
AL-90,ambient,45.0,4
ALASKA,brazil,45.0,4
ALEX FATT,spanish,33.0,3
ALEXANDRE APOSAN,groove,25.0,2
ALEX,club,34.285714285714285,3
ALIENSKILEZ,reggaeton,42.0,4
ALIUS,swedish,52.0,5
ALI,soul,63.5,6
ALLÉ,progressive-house,54.0,5
ALMAR,mpb,42.333333333333336,4
ALMA,disco,65.0,6
ALMA,drum-and-bass,23.0,2
ALMA,synth-pop,46.0,4
ALPHA 9,progressive-house,48.5,4
ALPHA 9,trance,43.0,4
AMAGII,dubstep,36.0,3
AMAN,indian,48.5,4
AMARIA BB,dance,71.0,7
AMARIA BB,dancehall,45.375,4
AMARIA BB,j-dance,41.666666666666664,4
AMAYA,deep-house,41.0,4
AMK,emo,36.0,3
AMONGST THE ASHES,iranian,0.6,0
AMRITA NAYAK,samba,34.0,3
AMÉMÉ,deep-house,51.0,5
AMÉMÉ,disco,51.0,5
AMÉMÉ,minimal-techno,48.0,4
AMÉMÉ,techno,51.0,5
AN21,drum-and-bass,40.0,4
ANAVITÓRIA,folk,46.75,4
ANAVITÓRIA,mpb,45.6,4
AND.ID,minimal-techno,28.0,2
ANDY SVGE,happy,18.0,1
ANDY SVGE,hardstyle,20.5,2
ANNA,minimal-techno,42.666666666666664,4
ANNA,techno,53.0,5
ANSONBEAN,cantopop,19.0,1
ANUQRAM,progressive-house,35.0,3
ANUQRAM,trance,36.0,3
ANVY,drum-and-bass,20.0,2
ANVY,trance,48.0,4
ANXZIETY,malay,26.0,2
AO Cubo,brazil,46.0,4
AO Cubo,gospel,43.5,4
AO Cubo,groove,23.0,2
AP Dhillon,hip-hop,68.62068965517241,6
AP Dhillon,pop,72.625,7
APEK,dub,43.0,4
APEK,dubstep,43.0,4
APOLLYON.,chill,59.0,5
APOLLYON.,sad,59.0,5
AR Paisley,hip-hop,67.5,6
AR Paisley,pop,70.0,7
AR/CO,progressive-house,66.0,6
ARAM Mafia,swedish,64.0,6
ARIETE,indie,1.0,0
ARIUS,club,33.5,3
ARMNHMR,dub,47.0,4
ARMNHMR,dubstep,47.0,4
ARTBAT,deep-house,49.333333333333336,4
ARTBAT,electronic,51.333333333333336,5
ARTBAT,minimal-techno,42.0,4
ARTBAT,progressive-house,53.0,5
ARTBAT,techno,44.0,4
ARTBAT,trip-hop,41.5,4
ARTHNAMIX,funk,47.0,4
ARTY,edm,0.0,0
ARTY,house,0.0,0
ARTY,progressive-house,53.36363636363637,5
ASCA,anime,58.0,5
ASCA,j-rock,58.0,5
ASIAN KUNG-FU GENERATION,anime,59.25,5
ASIAN KUNG-FU GENERATION,emo,58.4,5
ASIAN KUNG-FU GENERATION,j-pop,58.4,5
ASIAN KUNG-FU GENERATION,j-rock,58.4,5
ASIAN KUNG-FU GENERATION,punk,60.0,6
ASIAN KUNG-FU GENERATION,punk-rock,58.4,5
ASMR HD,sleep,37.333333333333336,3
ASMR Rain Sounds,sleep,37.0,3
ASM,trip-hop,47.0,4
ASTN,chill,63.0,6
ASTN,soul,68.5,6
ATB,german,79.0,7
ATB,techno,60.8,6
ATB,trance,60.8,6
ATEEZ,k-pop,68.25,6
ATFC,deep-house,26.0,2
ATHRS,club,17.0,1
ATLiens,dub,46.0,4
ATLiens,dubstep,45.75,4
ATR,afrobeat,21.0,2
ATTLAS,electronic,52.5,5
ATTLAS,progressive-house,52.5,5
ATTOMATIC RECORDS,dancehall,26.0,2
ATTOMATIC RECORDS,j-dance,23.555555555555557,2
AUGUSTKID,deep-house,55.0,5
AURORA,german,32.31818181818182,3
AURORA,mandopop,44.5,4
AURORA,pop,79.0,7
AURORA,show-tunes,73.0,7
AVIRA,progressive-house,26.75,2
AVIRA,techno,49.0,4
AVIRA,trance,35.25,3
AVIWKILA,j-pop,59.0,5
AVOID,metalcore,24.0,2
AViVA,trance,49.0,4
AWAY,singer-songwriter,47.0,4
AWAY,songwriter,47.0,4
AWA,edm,0.0,0
AWA,house,0.0,0
AWOLNATION,grunge,55.0,5
AXMO,trance,62.333333333333336,6
AXYL,sad,54.0,5
AXYS,dub,35.0,3
AXYS,dubstep,35.0,3
AYLIVA,german,26.5,2
AYMEN,dub,44.0,4
AYMEN,dubstep,44.0,4
AZ,hardcore,60.5,6
Aadesh Goud,indian,42.0,4
Aakanksha Sharma,k-pop,46.0,4
Aakanksha Sharma,pop,67.0,6
Aakanksha Sharma,pop-film,63.5,6
Aalaap Raju,pop-film,59.5,5
Aalvero,dancehall,32.0,3
Aaman Trikha,pop,67.0,6
Aaman Trikha,pop-film,67.0,6
Aamir Khan,folk,45.5,4
Aamir Khan,indian,45.5,4
Aanandi Joshi,classical,38.0,3
Aaren Hughes,piano,62.0,6
Aaro Wichman,disney,24.0,2
Aaron Behrens,afrobeat,19.0,1
Aaron Carl,detroit-techno,7.9,0
Aaron Espe,acoustic,60.5,6
Aaron Espe,folk,65.0,6
Aaron Gillespie,metalcore,55.0,5
Aaron Kaburick,show-tunes,21.666666666666668,2
Aaron Karo,comedy,20.0,2
Aaron Kennedy,sleep,0.0,0
Aaron Keyes,world-music,44.0,4
Aaron Kwok,cantopop,20.666666666666668,2
Aaron Kwok,mandopop,23.5,2
Aaron Levy,blues,60.0,6
Aaron Lewis,grunge,48.0,4
Aaron Lewis,metal,48.0,4
Aaron Martin,iranian,7.25,0
Aaron Pilsan,classical,0.0,0
Aaron Pilsan,german,0.0,0
Aaron Richards,dub,44.0,4
Aaron Richards,dubstep,44.0,4
Aaron Richards,edm,64.0,6
Aaron Richards,house,64.0,6
Aaron Shirk,dub,40.0,4
Aaron Shirk,dubstep,40.0,4
Aaron Shust,world-music,47.5,4
Aaron Smith,chicago-house,26.88,2
Aaron Smith,house,77.0,7
Aaron Trinh,dub,40.0,4
Aaron Trinh,dubstep,40.0,4
Aaron Tveit,show-tunes,30.5,3
Aaron Watson,country,41.0,4
Aaron Wilburn,comedy,24.0,2
Aarthos,hardcore,34.0,3
Aaryan Dinesh Kanagaratnam,pop-film,62.0,6
Aaryan Shah,soul,57.55555555555556,5
Aashim Gulati,classical,46.0,4
Aashim Gulati,indian,46.0,4
Aashna Hegde,pop,67.0,6
Aastha Gill,hip-hop,67.0,6
Aastha Gill,indian,47.0,4
Aastha Gill,pop,66.33333333333333,6
Aavrutti,hip-hop,56.0,5
Aazar,electronic,52.5,5
AbRaw,malay,27.5,2
Ababeel,malay,26.5,2
Abandoned,dub,42.5,4
Abandoned,dubstep,37.333333333333336,3
Abayomi,pagode,61.0,6
Abayomy Afrobeat Orquestra,afrobeat,20.0,2
Abbath,black-metal,16.0,1
Abbie Adi,drum-and-bass,15.0,1
Abby Cates,singer-songwriter,58.0,5
Abby Cates,songwriter,58.0,5
Abby Vestnys,world-music,48.0,4
Abby,malay,24.0,2
Abdon Mech,singer-songwriter,36.0,3
Abdon Mech,songwriter,36.0,3
Abdul Cisse,indie-pop,42.5,4
Abdul Hannan,electro,66.0,6
Abdul Hannan,electronic,66.0,6
Abdul Hannan,indie,55.4,5
Abdul Hannan,indie-pop,57.25,5
Abdullah Kasumbi,indie,58.0,5
Abdullah Kasumbi,indie-pop,53.333333333333336,5
Abdullah Siddiqui,indie,55.0,5
Abdullah Siddiqui,indie-pop,48.5,4
Abel Korzeniowski,ambient,49.22222222222222,4
Abel Pintos,folk,45.25,4
Abel Pintos,latin,0.0,0
Abel Pintos,metal,45.0,4
Abel Pintos,mpb,39.0,3
Abel Pintos,spanish,28.2,2
Abelation,dubstep,40.0,4
Aberdeen,club,19.0,1
Aberola,acoustic,26.0,2
Abfahrt Hinwil,idm,11.0,1
Abhay Deol,pop-film,64.0,6
Abhay Jodhpurkar,pop-film,58.0,5
Abhijeet Srivastava,pop-film,58.0,5
Abhijeet,indian,59.0,5
Abhijeet,k-pop,45.0,4
Abhijeet,pop-film,59.42857142857143,5
Abhijit Vaghani,hip-hop,74.0,7
Abhijit Vaghani,pop,74.0,7
Abhijit Vaghani,pop-film,58.0,5
Abhijith Ravikumar,malay,34.0,3
Abhilasha Sinha,indian,43.5,4
Abhilasha Sinha,singer-songwriter,43.5,4
Abhilasha Sinha,songwriter,43.5,4
Abhinash Mishra,samba,23.0,2
Abhirami Ajai,malay,46.0,4
Abhishek Kapur,pop-film,40.0,4
Abhishek Lal,singer-songwriter,31.0,3
Abhishek Lal,songwriter,31.0,3
Abhishek Pughazh,indie,47.0,4
Abhishek Pughazh,indie-pop,47.0,4
Abid Brohi,electronic,40.0,4
Abidaz,swedish,34.0,3
Abigail Bailey,disco,0.0,0
Abigail Barlow,show-tunes,55.5,5
Abigail Hodges,singer-songwriter,0.0,0
Abigail Hodges,songwriter,0.0,0
Abin Fang,mandopop,59.0,5
Abject,hardstyle,23.0,2
Aborted,grindcore,15.0,1
Above & Beyond,progressive-house,47.0,4
Above & Beyond,trance,33.645833333333336,3
Abraham Boba,spanish,55.0,5
Abraham Mateo,reggaeton,74.0,7
Abraham Mateo,spanish,58.875,5
Abram,spanish,29.0,2
Abrar Ul Haq,pop,70.0,7
Abrissgebeat,disco,37.0,3
Abrissgebeat,party,37.0,3
Absent,dub,0.0,0
Absent,minimal-techno,0.0,0
Absent,techno,0.0,0
Absofacto,indie-pop,68.0,6
Absolute Valentine,club,41.125,4
Abstract Void,black-metal,17.0,1
Abstract,indie-pop,41.0,4
Absu,black-metal,17.0,1
Abulon,rockabilly,28.0,2
Abyss & Judge,hardstyle,20.0,2
Academy of Ancient Music,classical,26.333333333333332,2
Academy of St Martin in the Fields Chorus,sleep,0.0,0
Academy of St. Martin in the Fields Chamber Ensemble,classical,4.8,0
Academy of St. Martin in the Fields,british,0.0,0
Academy of St. Martin in the Fields,classical,11.071428571428571,1
Academy of St. Martin in the Fields,german,63.0,6
Academy of St. Martin in the Fields,opera,31.333333333333332,3
Academy of St. Martin in the Fields,sleep,0.0,0
Acadêmicos Do Salgueiro,samba,37.0,3
Accept,heavy-metal,36.166666666666664,3
Access to Arasaka,idm,8.0,0
Ace Aura,dub,41.5,4
Ace Aura,dubstep,42.0,4
Ace Ventura,trance,32.2,3
Acerina Y Su Danzonera,rock-n-roll,37.5,3
AcesToAces,funk,62.0,6
Aceyalone,grunge,49.0,4
Achayan,malay,29.0,2
Achillea,new-age,44.5,4
Achint,folk,40.0,4
Achint,indian,54.0,5
Achu,pop-film,58.0,5
Aché Cubano,salsa,30.0,3
Acid Arab,groove,39.5,3
Acid Ghost,garage,50.375,5
Acid Horse,industrial,22.0,2
Acid Pauli,minimal-techno,38.0,3
Acid Pauli,techno,44.0,4
Acil Servis,turkish,38.0,3
